,Unnamed: 0,DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,DATES,Prediction_NL,Residual_NL
11975,11976,2020-05-21 10:00:00,4135001,7JYdWkrLSPkdwr4,4277.0,418.2142857,1345.857143,7645855.857000001,28.207800333333303,53.517201866666696,0.70056636,2020-05-21,9479.989969971732,5202.989969971732
11977,11978,2020-05-21 10:00:00,4135001,VHMLBKoKgIrUVDU,4444.714286,434.6,1387.285714,7250457.286,28.207800333333303,53.517201866666696,0.70056636,2020-05-21,9479.989969971732,5035.275683971731
14026,14027,2020-05-22 10:00:00,4135001,McdE0feGgRqW7Ca,2424.571429,237.2428571,1422.142857,7210477.142999999,27.5856627333333,42.0670146666667,0.5426874133333329,2020-05-22,7529.855203251307,5105.2837742513075
14063,14064,2020-05-22 10:15:00,4135001,McdE0feGgRqW7Ca,2467.75,241.3,1437.25,7210492.25,27.8774047333333,42.9675394,0.63854485,2020-05-22,8730.328062028393,6262.578062028393
15917,15918,2020-05-23 09:45:00,4135001,rGa61gmuvPhdLxV,4033.857143,394.12857139999994,1280.857143,7168421.857000001,27.703896500000003,45.23483278571429,0.710976275,2020-05-23,9603.625112187652,5569.767969187652
18486,18487,2020-05-24 15:15:00,4135001,zBIq5rxdHJRwDNY,0.0,0.0,6464.0,6410945.0,33.7613037333333,54.006864266666696,0.476600342,2020-05-24,6673.46252005797,6673.46252005797
20099,20100,2020-05-25 10:15:00,4135001,ih0vzX44oOqAx2f,0.0,0.0,1795.0,6258289.0,29.217750933333303,53.501413799999995,0.8341566393333331,2020-05-25,11020.137639140303,11020.137639140303
34134,34135,2020-06-01 11:30:00,4135001,pkci93gMrogZuBj,7888.285714,771.2857142999999,3098.857143,7297889.857000001,29.817582266666697,54.1207823333333,1.089475536,2020-06-01,13672.437622183621,5784.151908183621
34137,34138,2020-06-01 11:30:00,4135001,uHbuxQJl8lW7ozc,8479.428570999999,828.7,3097.142857,7168450.142999999,29.817582266666697,54.1207823333333,1.089475536,2020-06-01,13672.437622183621,5193.009051183622
46664,46665,2020-06-07 12:15:00,4135001,1BY6WEcLGh8j5v7,1715.0,167.21428569999998,3633.285714,6422115.286,28.748333799999997,59.9877708666667,1.0242290946666701,2020-06-07,13031.674111713432,11316.674111713432
46675,46676,2020-06-07 12:15:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3551.0,6476675.0,28.748333799999997,59.9877708666667,1.0242290946666701,2020-06-07,13031.674111713432,13031.674111713432
46682,46683,2020-06-07 12:15:00,4135001,wCURE6d3bPkepu2,7688.0,749.5857143,3998.714286,6957092.714,28.748333799999997,59.9877708666667,1.0242290946666701,2020-06-07,13031.674111713432,5343.674111713432
46683,46684,2020-06-07 12:15:00,4135001,z9Y9gH1T5YWrNuG,7717.142856999999,752.4142857,3954.714286,7181243.714,28.748333799999997,59.9877708666667,1.0242290946666701,2020-06-07,13031.674111713432,5314.531254713433
46686,46687,2020-06-07 12:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,3634.0,6422116.0,28.884908000000003,59.1491432666667,1.00650392,2020-06-07,12853.161153712304,12853.161153712304
46697,46698,2020-06-07 12:30:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3551.0,6476675.0,28.884908000000003,59.1491432666667,1.00650392,2020-06-07,12853.161153712304,12853.161153712304
46704,46705,2020-06-07 12:30:00,4135001,wCURE6d3bPkepu2,0.0,0.0,4065.0,6957159.0,28.884908000000003,59.1491432666667,1.00650392,2020-06-07,12853.161153712304,12853.161153712304
46705,46706,2020-06-07 12:30:00,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,4021.0,7181310.0,28.884908000000003,59.1491432666667,1.00650392,2020-06-07,12853.161153712304,12853.161153712304
46708,46709,2020-06-07 12:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,3634.0,6422116.0,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,12772.331250410369
46712,46713,2020-06-07 12:45:00,4135001,McdE0feGgRqW7Ca,3770.142857,367.5857143,4639.571429,7335799.571,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,9002.188393410368
46719,46720,2020-06-07 12:45:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3551.0,6476675.0,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,12772.331250410369
46724,46725,2020-06-07 12:45:00,4135001,sjndEbLyjtCKgGv,1897.5714289999999,185.0142857,4520.0,7190176.0,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,10874.75982141037
46726,46727,2020-06-07 12:45:00,4135001,wCURE6d3bPkepu2,0.0,0.0,4065.0,6957159.0,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,12772.331250410369
46727,46728,2020-06-07 12:45:00,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,4021.0,7181310.0,29.446805800000003,57.7418068,0.998539759333333,2020-06-07,12772.331250410369,12772.331250410369
46730,46731,2020-06-07 13:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,3634.0,6422116.0,30.082822666666697,56.8950845333333,0.9434325606666669,2020-06-07,12202.75409877924,12202.75409877924
46734,46735,2020-06-07 13:00:00,4135001,McdE0feGgRqW7Ca,0.0,0.0,4648.0,7335808.0,30.082822666666697,56.8950845333333,0.9434325606666669,2020-06-07,12202.75409877924,12202.75409877924
46741,46742,2020-06-07 13:00:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3551.0,6476675.0,30.082822666666697,56.8950845333333,0.9434325606666669,2020-06-07,12202.75409877924,12202.75409877924
46746,46747,2020-06-07 13:00:00,4135001,sjndEbLyjtCKgGv,0.0,0.0,4526.0,7190182.0,30.082822666666697,56.8950845333333,0.9434325606666669,2020-06-07,12202.75409877924,12202.75409877924
46748,46749,2020-06-07 13:00:00,4135001,wCURE6d3bPkepu2,0.0,0.0,4065.0,6957159.0,30.082822666666697,56.8950845333333,0.9434325606666669,2020-06-07,12202.75409877924,12202.75409877924
46749,46750,2020-06-07 13:00:00,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,4021.0,7181310.0,30.082822666666697,56.8950845333333,0.9434325606666669,2020-06-07,12202.75409877924,12202.75409877924
46752,46753,2020-06-07 13:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,3634.0,6422116.0,30.003688533333303,56.585726,0.954714792,2020-06-07,12320.83206048698,12320.83206048698
46756,46757,2020-06-07 13:15:00,4135001,McdE0feGgRqW7Ca,0.0,0.0,4648.0,7335808.0,30.003688533333303,56.585726,0.954714792,2020-06-07,12320.83206048698,12320.83206048698
46763,46764,2020-06-07 13:15:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3551.0,6476675.0,30.003688533333303,56.585726,0.954714792,2020-06-07,12320.83206048698,12320.83206048698
46768,46769,2020-06-07 13:15:00,4135001,sjndEbLyjtCKgGv,0.0,0.0,4526.0,7190182.0,30.003688533333303,56.585726,0.954714792,2020-06-07,12320.83206048698,12320.83206048698
46770,46771,2020-06-07 13:15:00,4135001,wCURE6d3bPkepu2,0.0,0.0,4065.0,6957159.0,30.003688533333303,56.585726,0.954714792,2020-06-07,12320.83206048698,12320.83206048698
46771,46772,2020-06-07 13:15:00,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,4021.0,7181310.0,30.003688533333303,56.585726,0.954714792,2020-06-07,12320.83206048698,12320.83206048698
46774,46775,2020-06-07 13:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,3634.0,6422116.0,29.89033,55.834263199999995,0.832459743333333,2020-06-07,11001.239185689878,11001.239185689878
46778,46779,2020-06-07 13:30:00,4135001,McdE0feGgRqW7Ca,0.0,0.0,4648.0,7335808.0,29.89033,55.834263199999995,0.832459743333333,2020-06-07,11001.239185689878,11001.239185689878
46785,46786,2020-06-07 13:30:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3551.0,6476675.0,29.89033,55.834263199999995,0.832459743333333,2020-06-07,11001.239185689878,11001.239185689878
46790,46791,2020-06-07 13:30:00,4135001,sjndEbLyjtCKgGv,0.0,0.0,4526.0,7190182.0,29.89033,55.834263199999995,0.832459743333333,2020-06-07,11001.239185689878,11001.239185689878
46792,46793,2020-06-07 13:30:00,4135001,wCURE6d3bPkepu2,0.0,0.0,4065.0,6957159.0,29.89033,55.834263199999995,0.832459743333333,2020-06-07,11001.239185689878,11001.239185689878
46793,46794,2020-06-07 13:30:00,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,4021.0,7181310.0,29.89033,55.834263199999995,0.832459743333333,2020-06-07,11001.239185689878,11001.239185689878
46796,46797,2020-06-07 13:45:00,4135001,1BY6WEcLGh8j5v7,1134.714286,111.4857143,3636.571429,6422118.571,29.9518858666667,49.8404563333333,0.591769411333333,2020-06-07,8150.855963552288,7016.1416775522885
46800,46801,2020-06-07 13:45:00,4135001,McdE0feGgRqW7Ca,625.75,61.35,4648.0,7335808.0,29.9518858666667,49.8404563333333,0.591769411333333,2020-06-07,8150.855963552288,7525.105963552288
46807,46808,2020-06-07 13:45:00,4135001,bvBOhCH3iADSZry,1287.4285710000001,126.3428571,3553.714286,6476677.714,29.9518858666667,49.8404563333333,0.591769411333333,2020-06-07,8150.855963552288,6863.4273925522875
46812,46813,2020-06-07 13:45:00,4135001,sjndEbLyjtCKgGv,685.5,67.1875,4526.5,7190182.5,29.9518858666667,49.8404563333333,0.591769411333333,2020-06-07,8150.855963552288,7465.355963552288
46814,46815,2020-06-07 13:45:00,4135001,wCURE6d3bPkepu2,572.375,56.1625,4065.0,6957159.0,29.9518858666667,49.8404563333333,0.591769411333333,2020-06-07,8150.855963552288,7578.480963552288
46815,46816,2020-06-07 13:45:00,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,4021.0,7181310.0,29.9518858666667,49.8404563333333,0.591769411333333,2020-06-07,8150.855963552288,8150.855963552288
46840,46841,2020-06-07 14:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,3823.0,6422305.0,30.5264695714286,52.11067421428571,0.657799340714286,2020-06-07,8965.40417359165,8965.40417359165
46851,46852,2020-06-07 14:15:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3741.0,6476865.0,30.5264695714286,52.11067421428571,0.657799340714286,2020-06-07,8965.40417359165,8965.40417359165
46862,46863,2020-06-07 14:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,3823.0,6422305.0,30.2763244,46.7861979333333,0.507855625333333,2020-06-07,7081.350966736425,7081.350966736425
46873,46874,2020-06-07 14:30:00,4135001,bvBOhCH3iADSZry,0.0,0.0,3741.0,6476865.0,30.2763244,46.7861979333333,0.507855625333333,2020-06-07,7081.350966736425,7081.350966736425
50709,50710,2020-06-09 10:00:00,4135001,z9Y9gH1T5YWrNuG,0.0,0.0,1612.0,7193036.0,27.4940001333333,40.6555808666667,0.40629584666666707,2020-06-09,5737.528258806621,5737.528258806621
61338,61339,2020-06-14 11:00:00,4135001,1BY6WEcLGh8j5v7,2155.375,210.9,2393.625,6466056.625,27.0810687333333,47.2752134666667,0.640661323333333,2020-06-14,8756.288381053035,6600.913381053035
61349,61350,2020-06-14 11:00:00,4135001,bvBOhCH3iADSZry,2474.5,241.6375,2368.0,6520010.0,27.0810687333333,47.2752134666667,0.640661323333333,2020-06-14,8756.288381053035,6281.788381053035
61360,61361,2020-06-14 11:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,26.948706133333303,43.9492638666667,0.650213567333333,2020-06-14,8873.00962328428,8873.00962328428
61371,61372,2020-06-14 11:15:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,26.948706133333303,43.9492638666667,0.650213567333333,2020-06-14,8873.00962328428,8873.00962328428
61382,61383,2020-06-14 11:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,26.847070399999996,46.0314575333333,0.662152370666667,2020-06-14,9018.213346057222,9018.213346057222
61393,61394,2020-06-14 11:30:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,26.847070399999996,46.0314575333333,0.662152370666667,2020-06-14,9018.213346057222,9018.213346057222
61404,61405,2020-06-14 11:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,25.9230410666667,38.48648913333329,0.42623457266666703,2020-06-14,6005.46698723403,6005.46698723403
61415,61416,2020-06-14 11:45:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,25.9230410666667,38.48648913333329,0.42623457266666703,2020-06-14,6005.46698723403,6005.46698723403
61426,61427,2020-06-14 12:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,25.2182857142857,37.8159247142857,0.4920235971428571,2020-06-14,6875.32067549782,6875.32067549782
61437,61438,2020-06-14 12:00:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,25.2182857142857,37.8159247142857,0.4920235971428571,2020-06-14,6875.32067549782,6875.32067549782
61448,61449,2020-06-14 12:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,24.9325601333333,36.606858200000005,0.47276466799999994,2020-06-14,6622.975756868998,6622.975756868998
61459,61460,2020-06-14 12:15:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,24.9325601333333,36.606858200000005,0.47276466799999994,2020-06-14,6622.975756868998,6622.975756868998
61470,61471,2020-06-14 12:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,24.9452961333333,35.6148313333333,0.454945416,2020-06-14,6387.788784042692,6387.788784042692
61481,61482,2020-06-14 12:30:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,24.9452961333333,35.6148313333333,0.454945416,2020-06-14,6387.788784042692,6387.788784042692
61492,61493,2020-06-14 12:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,25.431060866666698,37.157000866666706,0.519268844,2020-06-14,7228.982633473921,7228.982633473921
61503,61504,2020-06-14 12:45:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,25.431060866666698,37.157000866666706,0.519268844,2020-06-14,7228.982633473921,7228.982633473921
61514,61515,2020-06-14 13:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,25.3799356666667,34.7806823333333,0.576180339333333,2020-06-14,7954.967562557294,7954.967562557294
61525,61526,2020-06-14 13:00:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,25.3799356666667,34.7806823333333,0.576180339333333,2020-06-14,7954.967562557294,7954.967562557294
61536,61537,2020-06-14 13:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,25.8988729333333,42.3642943333333,0.734368802,2020-06-14,9879.302614401995,9879.302614401995
61547,61548,2020-06-14 13:15:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,25.8988729333333,42.3642943333333,0.734368802,2020-06-14,9879.302614401995,9879.302614401995
61558,61559,2020-06-14 13:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,26.6301878,45.9655842,0.727763513333333,2020-06-14,9801.795152839943,9801.795152839943
61569,61570,2020-06-14 13:30:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,26.6301878,45.9655842,0.727763513333333,2020-06-14,9801.795152839943,9801.795152839943
61580,61581,2020-06-14 13:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,27.048903533333302,47.9602314,0.906614900666667,2020-06-14,11812.09496544627,11812.09496544627
61591,61592,2020-06-14 13:45:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,27.048903533333302,47.9602314,0.906614900666667,2020-06-14,11812.09496544627,11812.09496544627
61602,61603,2020-06-14 14:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,2402.0,6466065.0,27.8489156,59.3860793333333,1.22165184666667,2020-06-14,14891.731663424955,14891.731663424955
61613,61614,2020-06-14 14:00:00,4135001,bvBOhCH3iADSZry,0.0,0.0,2378.0,6520020.0,27.8489156,59.3860793333333,1.22165184666667,2020-06-14,14891.731663424955,14891.731663424955
61624,61625,2020-06-14 14:15:00,4135001,1BY6WEcLGh8j5v7,3272.875,320.225,2412.5,6466075.5,28.222322857142895,58.596646928571396,0.91048926,2020-06-14,11853.662984842334,8580.787984842334
61635,61636,2020-06-14 14:15:00,4135001,bvBOhCH3iADSZry,3496.75,341.9875,2388.75,6520030.75,28.222322857142895,58.596646928571396,0.91048926,2020-06-14,11853.662984842334,8356.912984842334
65714,65715,2020-06-16 12:30:00,4135001,zBIq5rxdHJRwDNY,0.0,0.0,3480.0,6575313.0,27.9640370714286,45.408554142857106,0.48339984,2020-06-16,6762.600268705538,6762.600268705538
65736,65737,2020-06-16 12:45:00,4135001,zBIq5rxdHJRwDNY,0.0,0.0,3480.0,6575313.0,28.3002787333333,46.0441244,0.5028826646666671,2020-06-16,7016.786425619176,7016.786425619176
